Event ,Zone,Region,Category,Start Date,End Date,Fatalities,Injured
Flood - Nowra,New South Wales,Wollongong,Flood,01/01/1860,01/01/1860,16,N/A
South-east Queensland Heavy rainfall and floods,Queensland,Queensland,Flood,8/2/2020,14/2/2020,1,N/A
Flood - Hobart flash flooding,Tasmania,Hobart,Flood,10/5/2018,10/5/2018,N/A,N/A
Flood - south-eastern Australia,National,National,Flood,1/9/2016,30/9/2016,1,N/A
"Flood - Tasmania, 2016",Tasmania,"Mersey, Forth, Meander, North Esk, South Esk, Macquarie, Ouse, Huon and Derwent Rivers",Flood,1/6/2016,31/7/2016,3,N/A
Flood - Victoria,Victoria,Cooma (VIC),Flood,26/2/2012,15/3/2012,N/A,N/A
Flood - New South Wales,New South Wales,"Bourke , Broken Hill , Canberra (NSW) , Cooma (NSW) , Dubbo , Narrabi , Swan Hill (NSW) , Sydney , Tamworth , Tibooburra (NSW) , Wollongong",Flood,24/1/2012,13/3/2012,3,N/A
Flood - Queensland,Queensland,"Cairns , Cape York , Charters Towers , Cooktown , Gunpowder , Mackay , Mitchell River , Mornington Island , Normanton , Torres Strait , Townsville , Weipa",Flood,24/1/2012,13/3/2012,1,N/A
Flood - Northern NSW - Moree,New South Wales,"Moree (NSW) , Narrabi , Tamworth",Flood,27/11/2011,4/12/2011,1,N/A
Flood - Victoria ,Victoria,"Mount Gambier (VIC) , Murray Bridge (VIC) , Swan Hill (VIC) , Melbourne",Flood,12/1/2011,18/1/2011,N/A,N/A
"Flood - Warum, Kimberly",Western Australia,Kimberly,Flood,10/3/2011,14/3/2011,N/A,N/A
Flood - Queensland,Queensland,Brisbane,Flood,30/11/2010,17/1/2011,33,N/A
Flood - Gascoyne river,Western Australia,Gascoyne River,Flood,16/12/2010,18/12/2010,N/A,N/A
Flood - Queensland ,Queensland,"Blackall , Brisbane , Charleville , Clermont , Eromanga , Moree (QLD) , Roma , Taroom , Windorah",Flood,28/2/2010,5/3/2010,N/A,N/A
